ALL	solr-2-2009-study1And2	0.93						
ALL	tomcat-1-2006-study1And2	0.67						
ALL	tomcat-1-2007-study1And2	0.38						
ALL	tomcat-1-2008-study1And2	0.41						
ALL	tomcat-1-2009-study1And2	0.53						
ALL	tomcat-1-2010-study1And2	0.49						
ALL	tomcat-1-2011-study1And2	0.76						
ALL	tomcat-1-2012-study1And2	0.27						
ALL	tomcat-2-2006-study1And2	0.41						
ALL	tomcat-2-2007-study1And2	0.24						
ALL	tomcat-2-2008-study1And2	0.48						
ALL	tomcat-2-2009-study1And2	0.53						
ALL	tomcat-2-2010-study1And2	0.32						
ALL	tomcat-2-2011-study1And2	0.39						
ALL	tomcat-2-2012-study1And2	0.41						
A	ant-1-2006-study1And2	0.78						
A	ant-1-2007-study1And2	0.08						
A	ant-1-2008-study1And2	0.52						
A	ant-1-2009-study1And2	0.21						
A	ant-1-2010-study1And2	0.47						
A	ant-1-2011-study1And2	0.00						
A	ant-1-2012-study1And2	0.30						
A	ant-2-2006-study1And2	0.17						
A	ant-2-2007-study1And2	0.08						
A	ant-2-2008-study1And2	0.06						
A	ant-2-2009-study1And2	0.20						
A	ant-2-2010-study1And2	0.55						
A	ant-2-2011-study1And2	0.12						
A	ant-2-2012-study1And2	0.61						
A	camel-1-2008-study1And2	0.23						
A	camel-1-2009-study1And2	0.47						
A	camel-1-2010-study1And2	0.33						
A	camel-1-2011-study1And2	0.37						
A	camel-1-2012-study1And2	0.52						
A	camel-2-2008-study1And2	0.32						
A	camel-2-2009-study1And2	0.36						
A	camel-2-2010-study1And2	0.63						
A	camel-2-2011-study1And2	0.39						
A	camel-2-2012-study1And2	0.42						
A	cassandra-1-2010-study1And2	0.57						
A	cassandra-1-2011-study1And2	0.44						
A	cassandra-1-2012-study1And2	0.38						
A	cassandra-2-2010-study1And2	0.38						
A	cassandra-2-2011-study1And2	0.48						
A	cassandra-2-2012-study1And2	0.19						
A	cxf-1-2006-study1And2	0.99						
A	cxf-1-2007-study1And2	0.37						
A	cxf-1-2008-study1And2	0.45						
A	cxf-1-2009-study1And2	0.42						
A	cxf-1-2010-study1And2	0.33						
A	cxf-1-2011-study1And2	0.50						
A	cxf-1-2012-study1And2	0.46						
A	cxf-2-2006-study1And2	0.69						
A	cxf-2-2007-study1And2	0.38						
A	cxf-2-2008-study1And2	0.38						
A	cxf-2-2009-study1And2	0.33						
A	cxf-2-2010-study1And2	0.44						
A	cxf-2-2011-study1And2	0.50						
A	cxf-2-2012-study1And2	0.43						
A	derby-1-2006-study1And2	0.00						
A	derby-1-2007-study1And2	0.28						
A	derby-1-2008-study1And2	0.34						
A	derby-1-2009-study1And2	0.29						
A	derby-1-2010-study1And2	0.35						
A	derby-1-2011-study1And2	0.16						
A	derby-1-2012-study1And2	0.18						
A	derby-2-2006-study1And2	0.31						
A	derby-2-2007-study1And2	0.33						
A	derby-2-2008-study1And2	0.37						
A	derby-2-2009-study1And2	0.22						
A	derby-2-2010-study1And2	0.30						
A	derby-2-2011-study1And2	0.12						
A	derby-2-2012-study1And2	0.23						
A	hadoop-1-2009-study1And2	0.57						
A	hadoop-1-2010-study1And2	0.40						
A	hadoop-1-2011-study1And2	0.45						
A	hadoop-1-2012-study1And2	0.58						
A	hadoop-2-2009-study1And2	0.38						
A	hadoop-2-2010-study1And2	0.00						
A	hadoop-2-2011-study1And2	0.48						
A	hadoop-2-2012-study1And2	0.39						
A	httpd-1-2005-study1And2	0.31						
A	httpd-1-2006-study1And2	0.00						
A	httpd-1-2008-study1And2	0.13						
A	httpd-1-2009-study1And2	0.12						
A	httpd-1-2010-study1And2	0.07						
A	httpd-1-2011-study1And2	0.00						
A	httpd-1-2012-study1And2	0.18						
A	httpd-2-2005-study1And2	0.00						
A	httpd-2-2006-study1And2	0.00						
A	httpd-2-2007-study1And2	0.43						
A	httpd-2-2008-study1And2	0.02						
A	httpd-2-2009-study1And2	0.05						
A	httpd-2-2010-study1And2	0.16						
A	httpd-2-2011-study1And2	0.03						
A	httpd-2-2012-study1And2	0.42						
A	jmeter-1-2003-study1And2	0.34						
A	jmeter-1-2004-study1And2	0.34						
A	jmeter-1-2005-study1And2	0.38						
A	jmeter-1-2006-study1And2	0.45						
A	jmeter-1-2007-study1And2	0.40						
A	jmeter-1-2008-study1And2	0.35						
A	jmeter-1-2009-study1And2	0.18						
A	jmeter-1-2010-study1And2	0.16						
A	jmeter-1-2011-study1And2	0.08						
A	jmeter-1-2012-study1And2	0.31						
A	jmeter-2-2003-study1And2	0.48						
A	jmeter-2-2004-study1And2	0.36						
A	jmeter-2-2005-study1And2	0.27						
A	jmeter-2-2006-study1And2	0.00						
A	jmeter-2-2007-study1And2	0.25						
A	jmeter-2-2008-study1And2	0.14						
A	jmeter-2-2009-study1And2	0.34						
A	jmeter-2-2010-study1And2	0.18						
A	jmeter-2-2011-study1And2	0.12						
A	jmeter-2-2012-study1And2	0.12						
A	mahout-1-2010-study1And2	0.41						
A	mahout-1-2011-study1And2	0.30						
A	mahout-1-2012-study1And2	0.29						
A	mahout-2-2010-study1And2	0.33						
A	mahout-2-2011-study1And2	0.28						
A	mahout-2-2012-study1And2	0.10						
A	maven2-1-2006-study1And2	0.64						
A	maven2-1-2007-study1And2	0.59						
A	maven2-1-2008-study1And2	0.71						
A	maven2-1-2009-study1And2	0.58						
A	maven2-2-2006-study1And2	0.89						
A	maven2-2-2007-study1And2	0.33						
A	maven2-2-2008-study1And2	0.61						
A	maven2-2-2009-study1And2	0.00						
A	openjpa-1-2007-study1And2	0.27						
A	openjpa-1-2008-study1And2	0.42						
A	openjpa-1-2009-study1And2	0.51						
A	openjpa-1-2010-study1And2	0.40						
A	openjpa-1-2011-study1And2	0.22						
A	openjpa-1-2012-study1And2	0.20						
A	openjpa-2-2007-study1And2	0.36						
A	openjpa-2-2008-study1And2	0.50						
A	openjpa-2-2009-study1And2	0.50						
A	openjpa-2-2010-study1And2	0.34						
A	openjpa-2-2011-study1And2	0.30						
A	openjpa-2-2012-study1And2	0.33						
A	solr-1-2007-study1And2	0.42						
A	solr-1-2008-study1And2	0.40						
A	solr-1-2009-study1And2	0.25						
A	solr-1-2010-study1And2	0.00						
A	solr-2-2007-study1And2	0.31						
A	solr-2-2008-study1And2	0.40						
A	solr-2-2009-study1And2	0.90						
A	tomcat-1-2006-study1And2	0.07						
A	tomcat-1-2007-study1And2	0.40						
A	tomcat-1-2008-study1And2	0.52						
A	tomcat-1-2009-study1And2	0.41						
A	tomcat-1-2010-study1And2	0.40						
A	tomcat-1-2011-study1And2	0.34						
A	tomcat-1-2012-study1And2	0.19						
A	tomcat-2-2006-study1And2	0.43						
A	tomcat-2-2007-study1And2	0.09						
A	tomcat-2-2008-study1And2	0.46						
A	tomcat-2-2009-study1And2	0.46						
A	tomcat-2-2010-study1And2	0.28						
A	tomcat-2-2011-study1And2	0.37						
A	tomcat-2-2012-study1And2	0.35						
P	ant-1-2006-study1And2	0.78						
P	ant-1-2007-study1And2	0.15						
P	ant-1-2008-study1And2	0.52						
P	ant-1-2009-study1And2	0.16						
P	ant-1-2010-study1And2	0.48						
P	ant-1-2011-study1And2	0.00						
P	ant-1-2012-study1And2	0.33						
P	ant-2-2006-study1And2	0.20						
P	ant-2-2007-study1And2	0.09						
P	ant-2-2008-study1And2	0.20						
P	ant-2-2009-study1And2	0.24						
P	ant-2-2010-study1And2	0.63						
P	ant-2-2011-study1And2	0.01						
P	ant-2-2012-study1And2	0.62						
P	camel-1-2008-study1And2	0.27						
P	camel-1-2009-study1And2	0.46						
P	camel-1-2010-study1And2	0.34						
P	camel-1-2011-study1And2	0.35						
P	camel-1-2012-study1And2	0.44						
P	camel-2-2008-study1And2	0.26						
P	camel-2-2009-study1And2	0.33						
P	camel-2-2010-study1And2	0.60						
P	camel-2-2011-study1And2	0.36						
P	camel-2-2012-study1And2	0.43						
P	cassandra-1-2010-study1And2	0.61						
P	cassandra-1-2011-study1And2	0.43						
P	cassandra-1-2012-study1And2	0.34						
P	cassandra-2-2010-study1And2	0.47						
P	cassandra-2-2011-study1And2	0.59						
P	cassandra-2-2012-study1And2	0.20						
P	cxf-1-2006-study1And2	0.98						
P	cxf-1-2007-study1And2	0.34						
P	cxf-1-2008-study1And2	0.42						
P	cxf-1-2009-study1And2	0.40						
P	cxf-1-2010-study1And2	0.31						
P	cxf-1-2011-study1And2	0.46						
P	cxf-1-2012-study1And2	0.46						
P	cxf-2-2006-study1And2	0.59						
P	cxf-2-2007-study1And2	0.34						
P	cxf-2-2008-study1And2	0.42						
P	cxf-2-2009-study1And2	0.38						
P	cxf-2-2010-study1And2	0.36						
P	cxf-2-2011-study1And2	0.50						
P	cxf-2-2012-study1And2	0.36						
P	derby-1-2006-study1And2	0.00						
P	derby-1-2007-study1And2	0.30						
P	derby-1-2008-study1And2	0.33						
P	derby-1-2009-study1And2	0.15						
P	derby-1-2010-study1And2	0.38						
P	derby-1-2011-study1And2	0.28						
P	derby-1-2012-study1And2	0.09						
P	derby-2-2006-study1And2	0.04						
P	derby-2-2007-study1And2	0.27						
P	derby-2-2008-study1And2	0.37						
P	derby-2-2009-study1And2	0.21						
P	derby-2-2010-study1And2	0.20						
P	derby-2-2011-study1And2	0.14						
P	derby-2-2012-study1And2	0.12						
P	hadoop-1-2009-study1And2	0.44						
P	hadoop-1-2010-study1And2	0.32						
P	hadoop-1-2011-study1And2	0.44						
P	hadoop-1-2012-study1And2	0.51						
P	hadoop-2-2009-study1And2	0.32						
P	hadoop-2-2010-study1And2	0.00						
P	hadoop-2-2011-study1And2	0.49						
P	hadoop-2-2012-study1And2	0.43						
P	httpd-1-2005-study1And2	0.26						
P	httpd-1-2006-study1And2	0.00						
P	httpd-1-2008-study1And2	0.03						
P	httpd-1-2009-study1And2	0.28						
P	httpd-1-2010-study1And2	0.09						
P	httpd-1-2011-study1And2	0.00						
P	httpd-1-2012-study1And2	0.16						
P	httpd-2-2005-study1And2	0.00						
P	httpd-2-2006-study1And2	0.00						
P	httpd-2-2007-study1And2	0.24						
P	httpd-2-2008-study1And2	0.06						
P	httpd-2-2009-study1And2	0.33						
P	httpd-2-2010-study1And2	0.27						
P	httpd-2-2011-study1And2	0.00						
P	httpd-2-2012-study1And2	0.41						
P	jmeter-1-2003-study1And2	0.49						
P	jmeter-1-2004-study1And2	0.36						
P	jmeter-1-2005-study1And2	0.03						
P	jmeter-1-2006-study1And2	0.26						
P	jmeter-1-2007-study1And2	0.34						
P	jmeter-1-2008-study1And2	0.16						
P	jmeter-1-2009-study1And2	0.14						
P	jmeter-1-2010-study1And2	0.20						
P	jmeter-1-2011-study1And2	0.15						
P	jmeter-1-2012-study1And2	0.53						
P	jmeter-2-2003-study1And2	0.00						
P	jmeter-2-2004-study1And2	0.31						
P	jmeter-2-2005-study1And2	0.27						
P	jmeter-2-2006-study1And2	0.00						
P	jmeter-2-2007-study1And2	0.15						
P	jmeter-2-2008-study1And2	0.25						
P	jmeter-2-2009-study1And2	0.25						
P	jmeter-2-2010-study1And2	0.04						
P	jmeter-2-2011-study1And2	0.09						
P	jmeter-2-2012-study1And2	0.16						
P	mahout-1-2010-study1And2	0.35						
P	mahout-1-2011-study1And2	0.25						
P	mahout-1-2012-study1And2	0.25						
P	mahout-2-2010-study1And2	0.30						
P	mahout-2-2011-study1And2	0.26						
P	mahout-2-2012-study1And2	0.20						
P	maven2-1-2006-study1And2	0.64						
P	maven2-1-2007-study1And2	0.57						
P	maven2-1-2008-study1And2	0.70						
P	maven2-1-2009-study1And2	0.47						
P	maven2-2-2006-study1And2	0.89						
P	maven2-2-2007-study1And2	0.14						
P	maven2-2-2008-study1And2	0.67						
P	maven2-2-2009-study1And2	0.00						
P	openjpa-1-2007-study1And2	0.27						
P	openjpa-1-2008-study1And2	0.49						
P	openjpa-1-2009-study1And2	0.47						
P	openjpa-1-2010-study1And2	0.33						
P	openjpa-1-2011-study1And2	0.21						
P	openjpa-1-2012-study1And2	0.20						
P	openjpa-2-2007-study1And2	0.34						
P	openjpa-2-2008-study1And2	0.35						
P	openjpa-2-2009-study1And2	0.39						
P	openjpa-2-2010-study1And2	0.22						
P	openjpa-2-2011-study1And2	0.26						
P	openjpa-2-2012-study1And2	0.28						
P	solr-1-2007-study1And2	0.27						
P	solr-1-2008-study1And2	0.46						
P	solr-1-2009-study1And2	0.15						
P	solr-1-2010-study1And2	0.00						
P	solr-2-2007-study1And2	0.31						
P	solr-2-2008-study1And2	0.29						
P	solr-2-2009-study1And2	0.89						
P	tomcat-1-2006-study1And2	0.62						
P	tomcat-1-2007-study1And2	0.44						
P	tomcat-1-2008-study1And2	0.31						
P	tomcat-1-2009-study1And2	0.37						
P	tomcat-1-2010-study1And2	0.37						
P	tomcat-1-2011-study1And2	0.65						
P	tomcat-1-2012-study1And2	0.25						
P	tomcat-2-2006-study1And2	0.32						
P	tomcat-2-2007-study1And2	0.11						
P	tomcat-2-2008-study1And2	0.31						
P	tomcat-2-2009-study1And2	0.46						
P	tomcat-2-2010-study1And2	0.32						
P	tomcat-2-2011-study1And2	0.33						
P	tomcat-2-2012-study1And2	0.35						
S	ant-1-2006-study1And2	0.14						
S	ant-1-2007-study1And2	0.21						
S	ant-1-2008-study1And2	0.39						
S	ant-1-2009-study1And2	0.42						
S	ant-1-2010-study1And2	0.52						
S	ant-1-2011-study1And2	0.00						
S	ant-1-2012-study1And2	0.37						
S	ant-2-2006-study1And2	0.21						
S	ant-2-2007-study1And2	0.02						
S	ant-2-2008-study1And2	0.09						
S	ant-2-2009-study1And2	0.36						
S	ant-2-2010-study1And2	0.32						
S	ant-2-2011-study1And2	0.16						
S	ant-2-2012-study1And2	0.00						
S	camel-1-2008-study1And2	0.28						
S	camel-1-2009-study1And2	0.41						
S	camel-1-2010-study1And2	0.34						
S	camel-1-2011-study1And2	0.34						
S	camel-1-2012-study1And2	0.42						
S	camel-2-2008-study1And2	0.08						
S	camel-2-2009-study1And2	0.28						
S	camel-2-2010-study1And2	0.45						
S	camel-2-2011-study1And2	0.41						
S	camel-2-2012-study1And2	0.38						
S	cassandra-1-2010-study1And2	0.37						
S	cassandra-1-2011-study1And2	0.36						
S	cassandra-1-2012-study1And2	0.35						
S	cassandra-2-2010-study1And2	0.13						
S	cassandra-2-2011-study1And2	0.32						
S	cassandra-2-2012-study1And2	0.17						
S	cxf-1-2006-study1And2	0.93						
S	cxf-1-2007-study1And2	0.24						
S	cxf-1-2008-study1And2	0.43						
S	cxf-1-2009-study1And2	0.29						
S	cxf-1-2010-study1And2	0.29						
S	cxf-1-2011-study1And2	0.44						
S	cxf-1-2012-study1And2	0.43						
S	cxf-2-2006-study1And2	0.34						
S	cxf-2-2007-study1And2	0.29						
S	cxf-2-2008-study1And2	0.35						
S	cxf-2-2009-study1And2	0.23						
S	cxf-2-2010-study1And2	0.41						
S	cxf-2-2011-study1And2	0.38						
S	cxf-2-2012-study1And2	0.38						
S	derby-1-2006-study1And2	0.00						
S	derby-1-2007-study1And2	0.34						
S	derby-1-2008-study1And2	0.24						
S	derby-1-2009-study1And2	0.19						
S	derby-1-2010-study1And2	0.29						
S	derby-1-2011-study1And2	0.22						
S	derby-1-2012-study1And2	0.12						
S	derby-2-2006-study1And2	0.19						
S	derby-2-2007-study1And2	0.30						
S	derby-2-2008-study1And2	0.35						
S	derby-2-2009-study1And2	0.28						
S	derby-2-2010-study1And2	0.18						
S	derby-2-2011-study1And2	0.21						
S	derby-2-2012-study1And2	0.05						
S	hadoop-1-2009-study1And2	0.38						
S	hadoop-1-2010-study1And2	0.36						
S	hadoop-1-2011-study1And2	0.93						
S	hadoop-1-2012-study1And2	0.42						
S	hadoop-2-2009-study1And2	0.28						
S	hadoop-2-2010-study1And2	0.00						
S	hadoop-2-2011-study1And2	0.32						
S	hadoop-2-2012-study1And2	0.31						
S	httpd-1-2005-study1And2	0.37						
S	httpd-1-2006-study1And2	0.00						
S	httpd-1-2008-study1And2	0.22						
S	httpd-1-2009-study1And2	0.38						
S	httpd-1-2010-study1And2	0.07						
S	httpd-1-2011-study1And2	0.00						
S	httpd-1-2012-study1And2	0.29						
S	httpd-2-2005-study1And2	0.00						
S	httpd-2-2006-study1And2	0.00						
S	httpd-2-2007-study1And2	0.07						
S	httpd-2-2008-study1And2	0.06						
S	httpd-2-2009-study1And2	0.03						
S	httpd-2-2010-study1And2	0.34						
S	httpd-2-2011-study1And2	0.05						
S	httpd-2-2012-study1And2	0.42						
S	jmeter-1-2003-study1And2	0.20						
S	jmeter-1-2004-study1And2	0.27						
S	jmeter-1-2005-study1And2	0.00						
S	jmeter-1-2006-study1And2	0.35						
S	jmeter-1-2007-study1And2	0.31						
S	jmeter-1-2008-study1And2	0.00						
S	jmeter-1-2009-study1And2	0.00						
S	jmeter-1-2010-study1And2	0.17						
S	jmeter-1-2011-study1And2	0.00						
S	jmeter-1-2012-study1And2	0.29						
S	jmeter-2-2003-study1And2	0.00						
S	jmeter-2-2004-study1And2	0.17						
S	jmeter-2-2005-study1And2	0.24						
S	jmeter-2-2006-study1And2	0.00						
S	jmeter-2-2007-study1And2	0.00						
S	jmeter-2-2008-study1And2	0.12						
S	jmeter-2-2009-study1And2	0.00						
S	jmeter-2-2010-study1And2	0.39						
S	jmeter-2-2011-study1And2	0.26						
S	jmeter-2-2012-study1And2	0.18						
S	mahout-1-2010-study1And2	0.35						
S	mahout-1-2011-study1And2	0.20						
S	mahout-1-2012-study1And2	0.26						
S	mahout-2-2010-study1And2	0.16						
S	mahout-2-2011-study1And2	0.11						
S	mahout-2-2012-study1And2	0.04						
S	maven2-1-2006-study1And2	0.64						
S	maven2-1-2007-study1And2	0.50						
S	maven2-1-2008-study1And2	0.53						
S	maven2-1-2009-study1And2	0.57						
S	maven2-2-2006-study1And2	0.50						
S	maven2-2-2007-study1And2	0.28						
S	maven2-2-2008-study1And2	0.61						
S	maven2-2-2009-study1And2	0.00						
S	openjpa-1-2007-study1And2	0.34						
S	openjpa-1-2008-study1And2	0.47						
S	openjpa-1-2009-study1And2	0.42						
S	openjpa-1-2010-study1And2	0.32						
S	openjpa-1-2011-study1And2	0.34						
S	openjpa-1-2012-study1And2	0.14						
S	openjpa-2-2007-study1And2	0.30						
S	openjpa-2-2008-study1And2	0.29						
S	openjpa-2-2009-study1And2	0.29						
S	openjpa-2-2010-study1And2	0.29						
S	openjpa-2-2011-study1And2	0.23						
S	openjpa-2-2012-study1And2	0.46						
S	solr-1-2007-study1And2	0.25						
S	solr-1-2008-study1And2	0.31						
S	solr-1-2009-study1And2	0.03						
S	solr-1-2010-study1And2	0.00						
S	solr-2-2007-study1And2	0.27						
S	solr-2-2008-study1And2	0.33						
S	solr-2-2009-study1And2	0.69						
S	tomcat-1-2006-study1And2	0.00						
S	tomcat-1-2007-study1And2	0.42						
S	tomcat-1-2008-study1And2	0.19						
S	tomcat-1-2009-study1And2	0.02						
S	tomcat-1-2010-study1And2	0.28						
S	tomcat-1-2011-study1And2	0.00						
S	tomcat-1-2012-study1And2	0.12						
S	tomcat-2-2006-study1And2	0.28						
S	tomcat-2-2007-study1And2	0.06						
S	tomcat-2-2008-study1And2	0.18						
S	tomcat-2-2009-study1And2	0.27						
S	tomcat-2-2010-study1And2	0.31						
S	tomcat-2-2011-study1And2	0.28						
S	tomcat-2-2012-study1And2	0.20						
S_A	ant-1-2006-study1And2	0.73						
S_A	ant-1-2007-study1And2	0.22						
S_A	ant-1-2008-study1And2	0.55						
S_A	ant-1-2009-study1And2	0.20						
S_A	ant-1-2010-study1And2	0.48						
S_A	ant-1-2011-study1And2	0.00						
S_A	ant-1-2012-study1And2	0.35						
S_A	ant-2-2006-study1And2	0.20						
S_A	ant-2-2007-study1And2	0.05						
S_A	ant-2-2008-study1And2	0.03						
S_A	ant-2-2009-study1And2	0.35						
S_A	ant-2-2010-study1And2	0.52						
S_A	ant-2-2011-study1And2	0.32						
S_A	ant-2-2012-study1And2	0.62						
S_A	camel-1-2008-study1And2	0.29						
S_A	camel-1-2009-study1And2	0.48						
S_A	camel-1-2010-study1And2	0.33						
S_A	camel-1-2011-study1And2	0.38						
S_A	camel-1-2012-study1And2	0.51						
S_A	camel-2-2008-study1And2	0.31						
S_A	camel-2-2009-study1And2	0.36						
S_A	camel-2-2010-study1And2	0.63						
S_A	camel-2-2011-study1And2	0.42						
S_A	camel-2-2012-study1And2	0.48						
S_A	cassandra-1-2010-study1And2	0.52						
S_A	cassandra-1-2011-study1And2	0.46						
S_A	cassandra-1-2012-study1And2	0.39						
S_A	cassandra-2-2010-study1And2	0.38						
S_A	cassandra-2-2011-study1And2	0.54						
S_A	cassandra-2-2012-study1And2	0.25						
S_A	cxf-1-2006-study1And2	0.99						
S_A	cxf-1-2007-study1And2	0.37						
S_A	cxf-1-2008-study1And2	0.50						
S_A	cxf-1-2009-study1And2	0.41						
S_A	cxf-1-2010-study1And2	0.34						
S_A	cxf-1-2011-study1And2	0.51						
S_A	cxf-1-2012-study1And2	0.45						
S_A	cxf-2-2006-study1And2	0.69						
S_A	cxf-2-2007-study1And2	0.40						
S_A	cxf-2-2008-study1And2	0.41						
S_A	cxf-2-2009-study1And2	0.32						
S_A	cxf-2-2010-study1And2	0.40						
S_A	cxf-2-2011-study1And2	0.51						
S_A	cxf-2-2012-study1And2	0.45						
S_A	derby-1-2006-study1And2	0.00						
S_A	derby-1-2007-study1And2	0.33						
S_A	derby-1-2008-study1And2	0.30						
S_A	derby-1-2009-study1And2	0.26						
S_A	derby-1-2010-study1And2	0.35						
S_A	derby-1-2011-study1And2	0.16						
S_A	derby-1-2012-study1And2	0.30						
S_A	derby-2-2006-study1And2	0.37						
S_A	derby-2-2007-study1And2	0.32						
